Name,Team,Image,Batting Style,Bowling Style,Playing Role,Description
Chris Jordan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316623.png",Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. Jordans career looked to be going nowhere at the end of 2012 when he was released by Surrey, but he made his international debut less than a year later. He enjoyed a run in Englands white-ball sides in the games following the 2013-14 Ashes tour, and was given a Test debut the following summer.He played only twice in the ignominious 2015 World Cup, but had shown enough promise in an England shirt to survive the cull following that tournament. He lost his place in the ODI squad in 2016, but was impressive in the World T20 in India that year: but for Carlos Brathwaites last-gasp heroics, the fact he went for only eight runs in the 19th over of the final would surely have been remembered more fondly.Jordan remained a lock in England T20I team, and his performance in a series in the Caribbean immediately before the 2019 World Cup nearly brought him in from the wilderness. But his close friend Jofra Archer was named in the eventual squad ahead of him, and he continued to forge a path on the global franchise circuit.Jordan, a right-arm quick bowler born in the home of fast bowling, Barbados, was first spotted in his native land by Bill Athey, who was scouting for a recipient of a cricket scholarship back in England at Dulwich College. He became an exciting prospect at Surrey but failed to emerge as the bowler the county had hoped, not helped by a troubled period in the countys affairs.Jordan was earmarked for great things after Nadeem Shahid, Surreys Second XI coach, saw five minutes of his all-round ability. Shahid immediately called then first XI coach Alan Butcher to tell him they had a gem on their books. Five days later Jordan was at first-team nets. He impressed there and blazed into Surreys team in August 2007, looking the part immediately at just 18 years old. It was a hugely promising start with 20 wickets at 24.50 before the year was out but in the following seasons, injuries and inconsistency stalled his career and he missed the whole of 2010 with a back problem. His return in 2011 produced only 11 wickets at 48.00 in the Championship but that winter returned to play for Barbados and his potential was again evident. But back with Surrey in 2012 his impact was minimal and he was released at the end of the season. He went back to Barbados, with the question looming of who he might play for internationally, and excelled again. A move to Sussex in 2013 saw his true potential come to the fore, and England soon took notice. Eligible for England through his grandmother, he was selected for two England Lions fixtures in 2013 - meaning he would have to undertake a qualifying period to play for West Indies - and travelled with the full England ODI squad to Dublin. An ODI debut at the Ageas Bowl against Australia soon followed, before he broke through on the post-Ashes tour that winter. He continued to impress with the ball for Sussex across formats, and has played T20 cricket in the majority of leagues around the world, including the IPL. A useful lower-order batsman, Jordan hit a maiden first-class ton against Essex at Colchester in 2016, and has regularly found himself clearing the ropes to bail England out of trouble. He is also a world-class fielder, whether called upon in the slips, in the outfield, or off his own bowling. ESPNcricinfo staff"
Mohammad Haris,Pakistan, ,Right hand Bat,Right arm Offbreak,Middle order Batter,
Lahiru Kumara,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322942.png",Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lankas system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity.He had played in the Under-19 World Cup in February, but it was on a u-19 tour of England that he put himself into contention for higher honours. He took a series-high 13 wickets at an average of 18.30 through the Youth Tests, and was especially effective at Northampton, where he claimed first-innings figures of 7 for 82, then a further 4 for 52 in the second innings to send England Under-19s to their first home defeat in six years.Injury layoffs for Dushmantha Chameera, Nuwan Pradeep and Dhammika Prasad then opened up a spot for Kumara in the Test team. Though his initial performances in Zimbabwe were modest, Kumara became the second-youngest Sri Lanka bowler to claim a five-wicket haul at Newlands, in January 2017, taking 6 for 122 in the first innings."
David Warner,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316589.png",Left hand Bat,Legbreak,Opening Batter,"David Warners extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian crickets ensuing cultural crisis.After he was charged as the man who instructed team-mate Cameron Bancroft to use sandpaper on the ball in the infamous Cape Town Test, Warner, though not punished by the ICC, was banned from international and Australian domestic cricket by Cricket Australia for 12 months, stripped of the vice-captaincy, and banned from leadership roles for life.He returned for the 2019 World Cup and enjoyed a prolific tournament before suffering a record-breakingly poor Ashes, in which he made 95 runs in ten innings. He bounced back later that year with an unbeaten 335 against Pakistan in Adelaide - the second-highest Test score by an Australian - during a home summer in which he received the Allan Border Medal.Prior to his ban, Warner had established himself as one of the best all-format openers in the world. In 2015 his seniority was recognised when he was named vice-captain to Steven Smith in the Test and ODI sides, and he led the limited-overs sides with great success when Smith was rested. It was quite a turnaround for the man who two years earlier had been suspended by Cricket Australia for punching Englands Joe Root in a bar-room altercation in Birmingham, and had been warned over a Twitter spat with a pair of journalists. It completed a remarkable rise for a player who burst onto the international scene in 2008-09 as a T20 specialist - he was the first man since 1877 to debut for Australia before playing first-class cricket. His breathtaking 89 from 43 balls on T20I debut against South Africa told the world of his talent, but few at the time expected him to become a key Test player as well.His debut in the baggy green came, appropriately, in Test match No. 2020, against New Zealand at the Gabba in 2011, and in his second game he achieved what Justin Langer and Matthew Hayden never did, carrying his bat through a Test innings. His unbeaten 123 in Hobart could not prevent a historic New Zealand win, but his patience in challenging conditions showed a different side to his batting. Later that same summer he made a very different kind of hundred, a 69-ball one against India at the WACA. In the seven-year period between his debut and the ban, Warner was far and away the best Test opener in the world.Away from international cricket, he has had a prolific franchise T20 career, especially in the IPL, and in 2021 became just the fourth batter to pass 10,000 runs in T20."
Mitchell Starc,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316644.png",Left hand Bat,Left arm Fast,Bowler,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australias attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australias defence ended in the semi-finals.His challenge has been to take that white-ball form and perform just as consistently with the red ball, although overall his Test career numbers are also outstanding. He struggled to gain the consistent backing of the selectors early in his Test career and was often in one Test and out the next, but in 2015 he finally enjoyed a solid run of Test cricket until an ankle injury stopped him during the home summer. His career-best match haul of 11 for 94 came in the notable surroundings of Galle - albeit in an Australia defeat - and he claimed 22 wickets in four Tests during the 2017-18 Ashes. He took his 200th Test wicket in his 50th Test in February of 2019 joining an elite group of Australian bowlers although play only one of the five Ashes Tests in the 2019 series. When England toured down under in 2021-22, Starc produced some of his best form in the three matches where the series was decided and went on to claim the Allan Border Medal as Australias male player of the year.Also a powerful lower-order batter, Starc fell one short of a Test century in Mohali in 2013. He is married to Australia wicketkeeper Alyssa Healy.ESPNcricinfo staff"
Mohammad Nawaz,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322217.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. Nawaz studied at the FG Boys School in Rawalpindi but chose to discontinue his college education to focus on cricket instead. In the first four seasons after his first-class debut in 2012, Nawaz scored three first-class centuries and seven half-centuries, tallying 1440 runs, and took 44 wickets at an average of 24.4. Nawaz played for Quetta Gladiators in the inaugural Pakistan Super League and finished as the third-highest wicket-taker in the tournament, with 13 dismissals. That performance earned him a place in Pakistans T20 squad for the 2016 Asia Cup in Bangladesh. A few months later, he was picked in the ODI side for the tour of England and Ireland. Umar Farooq"
Temba Bavuma,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320389.png",Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africas Test squad. Without the advantage of height or power, Bavumas game is built on finesse and patience and has been since he moved up country for secondary school at St Davids Marist College in northern Johannesburg. Bavuma combined playing for his school with a commitment to Soweto Cricket Club, where he was mentored by Geoffrey Toyana from a young age.At 18, he made his first-class debut for Gauteng and three seasons later was playing in the franchise team, Lions. His sound technique, particularly off the back foot, helped him average over 45 in his second summer and he also demonstrated a temperament beyond his years. Bavuma established himself as part of the Lions leadership group, and was named their vice-captain in 2013-14. Bavuma played for South Africa A after finishing as the fifth-highest run-scorer in the 2012-13 season and followed that up by ending sixth in 2013-14. He was called up to the Test squad to play West Indies at the end of 2014."
Charith Asalanka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348599.png",Left hand Bat,Right arm Offbreak,Batting Allrounder,
Trent Boult,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316619.png",Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions.Born in the Bay of Plenty region in New Zealand\s North Island, Boult is, in the words of his brother Jono, a normal sort of Kiwi young guy… into his golf and fishing and surfing. Cricket, though, was his calling. He lived in a neighbourhood which included eventual New Zealand team-mates Kane Williamson and Doug Bracewell, and had the backing of a supportive household that also kept him grounded. Signs of his skill were evident even as a teenager. As a 17-year-old, he was named the fastest secondary school bowler in the country. A year later, he was representing New Zealand at the Under-19 World Cup.The transition to senior cricket, though, was not quite seamless. Boult suffered a stress fracture of the back in 2009 which put him out of cricket for two years and taught him to concentrate on strength and conditioning. There was speculation that the injury was a consequence of tinkering with his bowling action. So, under the supervision of one of his idols, Shane Bond, Boult reverted to the action he had used as a boy and the results were more than promising. By 2015, he was capable of long spells without wavering too far below the 140kph mark. He became one of New Zealand\s irreplaceable players across formats and one of many protagonists in the side\s march to their first World Cup final in 2015. Boult had a tough time breaking into the limited-overs sides at first, due to a perception that he doesn\t move the white ball as much as the red one. But his effectiveness in Test cricket was too compelling to ignore: he raced past 100 wickets in his 29th match and in 2013, only two years since his debut, he was New Zealand\s top-wicket taker. With Brendon McCullum placing a high premium on attacking cricket in the shorter versions as well and Boult proving himself as a bowler who preferred getting batsmen out rather than keeping them quiet, it was a perfect fit. Confirmation came in World Cup 2015 when he ended up the joint-leading wicket taker with 22 scalps in nine matches including 5 for 27 in an epic victory over Australia. His worth in T20 cricket was emphasised by a (approximately) $600,000 payday in the IPL.Boult\s strength, according to Northern Districts coach John Pamment, is that, he\s got a lovely wrist position and the fact that the wrist goes right behind the ball gives him that control. Another asset for Boult is friend and sounding board Tim Southee. When on song, their partnership makes for compelling viewing, not to mention telling numbers. In 2014, the pair picked up nearly half the wickets New Zealand took - 67 of 143 - en route to the side\s most successful Test year, with five wins in nine matches. The pair have both raced past 200 Test wickets and by 2019 occupy third and fourth on New Zealand\s all-time Test wicket-taking list behind Hadlee and Daniel Vettori. Boult was again magnificent in the 2019 World Cup helping lead New Zealand\s attack taking 17 wickets. He took a hat-trick against Australia, and the key wicket of Virat Kohli in the semi-final win over India. He bowled the last over and the Super Over in the tied final against England and without some misfortune he may have won the World Cup for his nation. Boult is also among the few fast bowlers who are exceptional fielders, and has a particular knack for one-handed blinders.ESPNcricinfo staff"
Craig Ervine,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316567.png",Left hand Bat,Right arm Offbreak,Middle order Batter,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshires middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion.But it is somewhat surprising that Ervine is playing cricket at all, as a freak accident in his early teens - he slipped and fell on a broken glass in his familys living room - required a three-hour reconstructive operation to his right hand. The injury had been so severe that amputation was considered an option in the initial diagnosis. Ervines recovery from the injury focused his ambitions, and mid-way through his A level studies at Lomagundi College on the outskirts of Chinhoyi he won a place at the Zimbabwe Cricket Academy. Ervine soon found his way into the Midlands, and Zimbabwe Under-19 and A sides before heading to England to expand his horizons and improve his game.After spells with English clubs Bexhill and Lordhood, and a stint with Irish club Lisburn in Belfast, Ervine returned to Zimbabwe and took up a contract with Masvingo-based franchise Southern Rocks. Ervine was their leading run-scorer in the 2009-10 Logan Cup and topped their one-day averages as well. His returns in the domestic Twenty20 competition were more modest, but a call-up to Zimbabwes squad for the World Twenty20 in the Caribbean followed. Ervines returns from Zimbabwes trip to the Caribbean in early 2013 suggested a career heading in the right direction. He averaged 60.50 in the ODIs against West Indies, and was the leading run-scorer across all three formats on the tour. When Zimbabwe returned home, however, Ervine refused a paltry winter contract offer from ZC and instead left the country to play club cricket for Lisburn and Grade Cricket for Morley in Western Australia. It appeared another bright talent had been lost to Zimbabwean cricket, but after an 18-month break Ervine once again made himself available for Zimbabwe ahead of the 2014-15 season. The 2015 World Cup was surely a motivation for his move, and Ervine was included in Zimbabwes squad for that tournament.Liam Brickhill"
Brad Wheal,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322436.png",Right hand Bat,Right arm Fast medium,Bowler,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshires head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19. He played four Championship matches in 2015, accounting for an England opener, Sam Robson, on his debut. A Scotland debut, at 19, followed in 2016, a year in which his experience was also developed with eight further Championship matches. It felt like a breakthrough season, not just for an exceptional last over in the televised T20 win against Sussex but also his six wickets against Notts at Trent Bridge and a 4 for 39 in the final Championship match against Durham with relegation staring Hampshire in the face. But it proved to be something of a false dawn. After a quiet 2017, Wheal missed most of the 2018 season with a stress fracture in his spine, and his recovery kept him out for much of the following campaign.\n\nESPNcricinfo staff"
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322444.png",Right hand Bat,Right arm Offbreak,Top order Batter,"Durham Academy youngster Michael Jones hit 87 in a fine debut for Scotland against Ireland in Dubai as his more experienced team-mates toiled. That breakthrough was followed by a first team debut for Durham against Derbyshire at Chesterfield in June of that year.Born in Ormskirk, Jones spent time at Lancashires academy and featured in county 2nd XI matches for Durham, Derbyshire and Leicestershire in 2017 before signing a senior academy contract with Durham ahead of the 2018 season. His club cricket background was at Ormskirk and, after his move to Durham, Tynemouth CC.\n\nESPNcricinfo staff"
Tony Munyonga,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348594.png",Right hand Bat,Right arm Offbreak,Allrounder,
Matthew Wade,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316594.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over.Wade was a talented junior footballer, but at 170cm decided he was too short to make a career out of it and pursued cricket instead. It wasnt plain sailing: that he played any international cricket at all is a credit to his mental toughness - at 16, he was diagnosed with testicular cancer, and required two cycles of chemotherapy to defeat the illness.He moved from Hobart to Melbourne when he realised he would be stuck behind Tim Paine in the Tasmania wicketkeeping queue. Victoria gave him a chance and he grabbed it, making 83 and taking six catches on his first-class debut. Wade would later become a Sheffield Shield-winning captain for Victoria, leading them to two titles in their hat-trick of wins between 2015 and 2017.Though he showed promise early in his Test career, including two hundreds in his first ten Tests, there was too much competition for the wicketkeeping spot. When his childhood friend Paine was handed the job for the 2017-18 Ashes, it looked like Wade had missed the bus, but he moved back to Tasmania, dominated state cricket for two seasons, and earned a spot for the 2019 series against England - in which he scored two centuries. That was followed by a return to the Australia white-ball set-ups. A brief, successful, stint as T20I opener in David Warners absence, on the back of dominant BBL seasons as an opener with Hobart Hurricanes, made Wade Australias first-choice T20I wicketkeeper in 2020-21, and he also captained the T20I team in two series while Aaron Finch was out. He was vice-captain for the 2021 T20 World Cup, and recast as a finisher. And it was in that role that he delivered arguably the most important innings of the T20 World Cup, in the semi-final against Pakistan to get Australia home, after which they went on to take the title."
Bernard Scholtz,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329700/329759.png",Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz\s brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is to compete against the top teams of the world and get exposure to a higher level of cricket. And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008"
Divan la Cock,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/350300/350303.png",Right hand Bat,Legbreak,Opening Batter,
Maheesh Theekshana,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/347800/347825.png",Right hand Bat,Right arm Offbreak,Bowler,
Bhanuka Rajapaksa,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340306.png",Left hand Bat,Right arm Medium,Top order Batter,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the teams key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
Johnson Charles,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322008.png",Right hand Bat, ,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies T20 World Cup winning teams in 2012 and 2016. While Smiths second skill is seam bowling, Charles is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles second skill sparingly.Charles power-hitting came to the fore when he muscled 52 off 36 balls against India, setting up West Indies win over India in the World T20 semi-final in Mumbai in 2016. After the tournament-winning victory, St Lucia Prime Minister Kenny Anthony announced that Charles would have a grandstand named after him at Beausejour Stadium, now Darren Sammy National Cricket Stadium.Charles also showed sparks of brilliance during his 84 against England in Pallekele in 2012, and 57 against Australia in Brisbane in 2013. Charles knock helped West Indies secure their first win over Australia in any format for 16 years. Charles hit a century as well in the fifth ODI on that Australian tour, having elbowed way into the West Indies ODI team in 2012 with a string of startling displays for the Windward Islands in the Caribbean Twenty20 tournament.He, however, has failed to crack the consistency code. He played for Antigua Hawksbills in the inaugural CPL in 2013, before moving to St Lucia Zouks."
Afif Hossain,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323159.png",Left hand Bat,Right arm Offbreak,Allrounder,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322644.png",Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.\n\nESPNcricinfo staff"
Ashen Bandara,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323079.png",Right hand Bat,Legbreak,Middle order Batter,
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320506.png",Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistans first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. Not a big turner of the ball, he puts batters under pressure with his speed through the air, like his bowling idol Shahid Afridi, while maintaining a stump-to-stump line. His biggest weapon is an accurate googly, and he has variations aplenty. With bat in hand he is more than capable of clearing the boundary late in an innings, and he has airbrushed many a middling total into a match-winning one for his team. Rashid was just 17 when he made his ODI debut on Afghanistans tour of Zimbabwe in October 2015. Less than two years later, he was snapped up by Sunrisers Hyderabad in the IPL for close to US$600,000. After a superb 17-wicket first season with them, he picked up franchise deals with Guyana Amazon Warriors - for whom he took the first-ever hat-trick in the CPL in 2017 - and Adelaide Strikers, with whom he won his (and their) first BBL title in 2018. He scaled new heights for Afghanistan as well, taking 5 for 3 in a T20I against Ireland to keep a record 11-match T20I winning streak alive, and later in 2017, taking his country to a win over West Indies in their first ODI in the Caribbean with 7 for 18. He was duly honoured as the 2017 ICC Associate Cricketer of the Year. The following year, he became the youngest cricketer to top the ODI bowling rankings, the youngest man to captain an international side, and the fastest to 100 ODI wickets.In Afghanistans inaugural year in Test cricket, Rashid took five second-innings wickets in their first win, against Ireland, and six months later made an important fifty and took twin five-fors, finishing with 11 wickets in a famous win over Bangladesh in Chattogram. In 2021, he took 11 again, this time in a win over Zimbabwe. In his five seasons with Sunrisers, he was a totemic presence, taking 93 wickets at an economy rate of 6.33. When he moved to Gujarat Titans in 2022, he took 19 wickets in a run that led the side to the title."
Blessing Muzarabani,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321400/321471.png",Right hand Bat,Right arm Fast medium,Bowler,
Brad Evans,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348596.png",Right hand Bat,Right arm Fast,Allrounder,
Scott Edwards,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322592.png",Right hand Bat, ,Wicketkeeper Batter,
Harry Tector,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319873.png",Right hand Bat,Right arm Offbreak,Middle order Batter,"Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. Playing in just his third ODI, in 2020, Tector produced an ice-cool 29 not out off 26 balls to help secure a famous win chasing 329 with a ball to spare. Paul Stirlings and Andy Balbirnies hundreds may have taken the headlines on the day, but Tectors poise gave hope that Ireland may have found a cure for the middle-order ills that had plagued them following multiple retirements toward the end of the 2010s. After a string of 20s and 30s against lesser opposition, Tector showed signs that he performs better on a bigger stage after he made 79 off 68 balls to help take Ireland to their first ever ODI win over South Africa, in July 2021. Since then, he hasnt looked back, making three fifties in Jamaica in an ODI series win over West Indies to start 2022. That run came in a stretch of nine ODI innings where he made seven scores of over 50, the last two of them hundreds against New Zealand. In between whiles he also made an unbeaten 64 off 33 balls in a rain-shortened T20 against India at Malahide. Tectors reputation as a T20 player of value has grown enough that he is one of the few Ireland cricketers able to attract interest on the T20 franchise circuit. He secured a deal with Barbados Royals in the CPL in 2022."
Arshdeep Singh,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322178.png",Left hand Bat,Left arm Medium fast,Bowler,
Shamarh Brooks,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322048.png",Right hand Bat,Legbreak,Top order Batter,"In full flow, Shamarh Brooks is all elegance. He drives mercilessly through the off side and often finishes his flicks standing on one leg. But it took four innings in Tests before these skills were visible.Delayed gratification has been a theme of Brooks career. As a teenager, he was part of two Under-19 World Cup squads, even captaining West Indies in the 2008 edition. But he found it hard to take to first-class cricket. Brooks wanted to be an electrical engineer if not a cricketer, a switch that might have played on his mind when he was dropped by Barbados in 2012, having made only one fifty after his debut in 2007.His comeback for Barbados was as boisterous as his exit had been tame. In 2015, Brooks made 124 against Windward Islands in his first innings back, followed it up with two more hundreds in the same year, and was immediately back in the West Indies plans with a Board Presidents XI call-up against Australia.But it wasnt until 2018 when he seriously challenged for the senior side again. As West Indies A captain, he made 91 and 122* against India A during a tour of England, and two fifties against the same opponents a year later earned him a place in West Indies squad for the home series against India.Varun Shetty"
